X,Y,ele,name,link_foto,link_audio,link_video,link_vide2,link_kmz,cod_elemen,tipologia,descrizion,icon_url
13.710236,42.335377,1150.089999999999918,CMC13,,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-4/CMC13.mp4,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-4/CMC13.kmz,,,,
13.7072050385177,42.3325540311634,1116.930000000000064,CMC15,,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-4/CMC15.mp4,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-4/CMC15.kmz,,,,
13.7002169620246,42.3296320158988,1170.759999999999991,CMC18,,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-4/CMC18.mp4,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-4/CMC18.kmz,,,,
13.722126,42.36145,1234.000000000000000,CMC04,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-2/CMC4.jpg,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-2/CMC4.mp4,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-2/CMC4.kmz,point3,Ponti e passerelle,in prossimità di questo punto c'è un fosso di circa 2 metri sarebbe aupicabile fare un pnticello in legno,./0.png
13.7025130167603,42.3280790168792,1207.529999999999973,CMC19,,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-4/CMC19.mp4,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-4/CMC19.kmz,,,,
13.710136,42.335898,1156.000000000000000,CMC12,,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC12.mp4,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC12.kmz,,,,
13.705815,42.331534,1123.000000000000000,CMC16,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-4/CMC16.jpg,,,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-4/CMC16.kmz,,,,
13.704714,42.330352,1122.000000000000000,CMC17,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-4/CMC17.jpg,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-4/CMC17.mp4,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-4/CMC17.kmz,,,,
13.723418,42.359447,1185.000000000000000,CMC06,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC6.jpg,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC6.m4a,,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC6.kmz,,,,
13.71902,42.350312,1091.000000000000000,CMC09,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC9.jpg,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC9.mp4,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC9.kmz,,,,
13.715881,42.341044,1069.000000000000000,CMC10,,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC10.mp4,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC10.kmz,,,,
13.722433,42.358723,1158.000000000000000,CMC07,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC7.jpg,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC7.m4a,,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC7.kmz,,,,
13.710952,42.337055,1146.000000000000000,CMC11,,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC11.mp4,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC11bis.mp4,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC11.kmz,point1,"panche, tavoli, punti fuoco (nuovi descrivere)",si potrebbe creare un area di sosta per riqualificare l'area interessata alla vecchia cava,./1.png
13.719632,42.354187,1104.000000000000000,CMC08,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC8.jpg,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC8.m4a,,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-3/CMC8.kmz,,,,
13.709786,42.334959,1157.000000000000000,CMC14,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-4/CMC14.jpg,,,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-4/CMC14.kmz,,,,
13.7236540205777,42.3598510399461,1192.000000000000000,CMC05,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-2/CMC5.jpg,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-2/CMC5.m4a,,,www.camminodellabaronia.it/CastelDelMonte-Calascio/TRACCIA-2/CMC5.kmz,point5,scalinate,per facilitare il passaggio sarebbe auspicabile realizzare 7/8 gradini (materiali legno e terra),./2.png
